Participant ID,Date,Key,Assay,Nucleic Acid,Viral Load,Viral Load Replicates,Equivocal,Sample Source,Comment,Experiment Number,RNA Isolation Method
r04118,2018-04-16,84531,DENV2,vRNA,0.0,0 ; 0,,Plasma,,5322,
r04118,2018-04-17,84535,DENV2,vRNA,901833.3,869667 ; 934000,,Plasma,,5322,
r04118,2018-04-18,84539,DENV2,vRNA,5023333.5,5006667 ; 5040000,,Plasma,,5322,
r04118,2018-04-19,84554,DENV2,vRNA,3860000.0,3860000 ; 3860000,,Plasma,,5322,
r04118,2018-04-20,84935,DENV2,vRNA,110416.664,108900 ; 111933,,Plasma,,5350,
r04118,2018-04-21,84939,DENV2,vRNA,3972.3333,3321 ; 4623,,Plasma,,5350,
r04118,2018-04-23,84945,DENV2,vRNA,850.3333,821 ; 880,,Plasma,,5350,
r04118,2018-04-24,84962,DENV2,vRNA,699.3333,555 ; 844,,Plasma,,5350,
r04118,2018-04-25,84966,DENV2,vRNA,505.5,500 ; 511,,Plasma,,5350,
r04118,2018-04-26,85862,DENV2,vRNA,278.78333,235 ; 323,,Plasma,,5406,
r04118,2018-04-27,85882,DENV2,vRNA,49.25,0 ; 99,Equoivical,Plasma,,5406,
r04118,2018-04-30,85866,DENV2,vRNA,0.0,0 ; 0,,Plasma,,5406,
r04118,2018-05-07,85870,DENV2,vRNA,0.0,0 ; 0,,Plasma,,5406,
r04118,2018-07-24,91299,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,,5715,
r04118,2018-07-30,91704,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Urine,urine,5738,
r04118,2018-07-30,95919,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,CC,6008,
r04118,2018-07-31,91703,Lanciotti_ZIKV_universal,vRNA,20433.334,19900 ; 20967,,Plasma,plasma,5738,
r04118,2018-08-01,92450,Lanciotti_ZIKV_universal,vRNA,67833.336,63333 ; 72333,,Plasma,CC,5793,
r04118,2018-08-02,92463,Lanciotti_ZIKV_universal,vRNA,466666.66,463333 ; 470000,,Plasma,CC,5793,
r04118,2018-08-03,92589,Lanciotti_ZIKV_universal,vRNA,613333.3,610000 ; 616667,,Plasma,CC,5797,
r04118,2018-08-04,92590,Lanciotti_ZIKV_universal,vRNA,103333.336,98667 ; 108000,,Plasma,CC,5797,
r04118,2018-08-05,92591,Lanciotti_ZIKV_universal,vRNA,5100.0,4800 ; 5400,,Plasma,CC,5797,
r04118,2018-08-06,92592,Lanciotti_ZIKV_universal,vRNA,2128.3333,1977 ; 2280,,Plasma,CC,5797,
r04118,2018-08-07,92593,Lanciotti_ZIKV_universal,vRNA,2273.3333,2037 ; 2510,,Plasma,CC,5797,
r04118,2018-08-08,92594,Lanciotti_ZIKV_universal,vRNA,2443.3333,2047 ; 2840,,Plasma,CC,5797,
r04118,2018-08-09,92595,Lanciotti_ZIKV_universal,vRNA,2336.6667,1750 ; 2923,,Plasma,CC,5797,
r04118,2018-08-14,92596,Lanciotti_ZIKV_universal,vRNA,244.16667,166 ; 323,,Plasma,CC,5797,
r04118,2018-08-17,92748,Lanciotti_ZIKV_universal,vRNA,72.244896,0 ; 144,Equoivical,Plasma,CC,5802,
r04118,2018-08-21,92749,Lanciotti_ZIKV_universal,vRNA,361.45834,285 ; 438,,Plasma,CC,5802,
r04118,2018-08-24,92750,Lanciotti_ZIKV_universal,vRNA,173.67346,0 ; 347,Equoivical,Plasma,CC,5802,
r04118,2018-08-28,92751,Lanciotti_ZIKV_universal,vRNA,79.166664,0 ; 158,Equoivical,Plasma,CC,5802,
r04118,2018-08-31,92880,Lanciotti_ZIKV_universal,vRNA,67.333336,0 ; 135,Equoivical,Plasma,CC,5807,
r04118,2018-09-04,93120,Lanciotti_ZIKV_universal,vRNA,39.833332,0 ; 80,Equoivical,Plasma,CC,5823,
r04118,2018-09-06,93121,Lanciotti_ZIKV_universal,vRNA,0.0,0 ; 0,,Plasma,CC,5823,
r04118,2018-09-13,93566,Lanciotti_ZIKV_universal,vRNA,4.5666666,0 ; 9,Equoivical,Plasma,CC,5843,
